Facility_Name,Ownership_Type
TAMONTAKA MOTHER EXTENSION BARANGAY HEALTH STATION,Government
TAMONTAKA V BARANGAY HEALTH STATION,Government
U1 CLINIC AND DIAGNOSTIC LABORATORY,Private
"UNITED DOCTORS HOSPITAL OF COTABATO CITY, INC.",Private
WOMEN'S AMBULATORY CLINIC AND BIRTHING HOME,Private
BUMBARAN BIRTHING CLINIC,Government
BUMBARAN RURAL HEALTH UNIT,Government
SUMUGOT BARANGAY HEALTH STATION,Government
AMPAO BARANGAY HEALTH STATION,Government
BACOLOD KALAWI RURAL HEALTH UNIT BIRTHING HOME,Government
BACOLOD-KALAWI RURAL HEALTH UNIT,Government
BARAAS BARANGAY HEALTH STATION,Government
MAGANDING BARANGAY HEALTH STATION,Government
MECALABO BARANGAY HEALTH STATION,Government
PONUNG BARANGAY HEALTH STATION,Government
BALABAGAN RURAL HEALTH UNIT,Government
BALABAGAN RURAL HEALTH UNIT BIRTHING HOME,Government
BATUAN BARANGAY HEALTH STATION,Government
IGABAY BARANGAY HEALTH STATION,Government
MATANOG BARANGAY HEALTH STATION,Government
BALINDONG MUNICIPAL HOSPITAL,Government
BALINDONG RURAL HEALTH UNIT,Government
BALINDONG RURAL HEALTH UNIT BIRTHING HOME,Government
BUBONG CADAPAAN BARANGAY HEALTH STATION,Government
CADAPAN BARANGAY HEALTH STATION,Government
DADAYAG BARANGAY HEALTH STATION,Government
LALABUAN BARANGAY HEALTH STATION,Government
LUMBAC WATO BARANGAY HEALTH STATION,Government
TANTUA RAYA BARANGAY HEALTH STATION,Government
BAYANG RURAL HEALTH UNIT,Government
LIONG BARANGAY HEALTH STATION,Government
PARAO BARANGAY HEALTH STATION,Government
TUCA BARANGAY HEALTH STATION,Government
BINIDAYAN RURAL HEALTH UNIT,Government
UNAYAN MUNICIPAL HOSPITAL,Government
BUADI PUSO BUNTONG BARANGAY HEALTH STATION,Government
BUADIPOSO BUNTONG RURAL HEALTH UNIT,Government
BUADIPUSO BUNTONG RURAL HEALTH UNIT BIRTHING HOME,Government
BUBONG BARANGAY HEALTH STATION,Government
LUMBAC BARANGAY HEALTH STATION,Government
BANSAYAN BARANGAY HEALTH STATION,Government
BUBONG RURAL HEALTH UNIT,Government
BUBONG RURAL HEALTH UNIT BIRTHING HOME,Government
ROGERO BARANGAY HEALTH STATION,Government
BAYABAO BARANGAY HEALTH STATION,Government
BUTIG BARANGAY HEALTH STATION,Government
BUTIG RURAL HEALTH UNIT,Government
BUTIG RURAL HEALTH UNIT BIRTHING HOME,Government
CALANOGAS RURAL HEALTH UNIT,Government
CALANOGAS RURAL HEALTH UNIT BIRTHING HOME,Government
NGINGIRBARANGAY HEALTH STATION,Government
PANTAON BARANGAY HEALTH STATION,Government
AL-SHIEK HOSPITAL II,Private
AMAI PAKPAK MEDICAL CENTER,Government
AMAI PAKPAK MEDICAL CENTER,Government
AMAI PAKPAK MEDICAL CENTER,Government
AMAI PAKPAK MEDICAL CENTER (CARTRIDGE - BASED PCR),Government
AMAI PAKPAK MEDICAL CENTER (RT-PCR),Government
AMITO MARANTAO RURAL HEALTH UNIT,Government
BANGCO BARANGAY HEALTH STATION,Government
BANGGOLO POBLACION HEALTH POST,Government
BANGON BARANGAY HEALTH STATION,Government
BARRIO MARAWI (MARAWI POBLACION) BARANGAY HEALTH POST,Government
BASAK MALUTLUT BARANGAY HEALTH STATION,Government
BOTO AMBOLONG BARANGAY HEALTH POST,Government
BUBONG LUMBAC BARANGAY HEALTH STATION,Government
BUBONGA LILOD MADAYA BARANGAY HEALTH STATION,Government
BUBONGA PUNOD BARANGAY HEALTH STATION,Government
CABINGAN RURAL HEALTH UNIT,Government
CADAYONAN BARANGAY HEALTH POST,Government
CADAYONAN I BARANGAY HEALTH POST,Government
CALOCAN EAST BARANGAY HEALTH STATION,Government
DAGUDUBAN BARANGAY HEALTH POST,Government
DANSALAN BARANGAY HEALTH POST,Government
DAYAWAN BARANGAY HEALTH POST,Government
DIMALUNA BARANGAY HEALTH STATION,Government
DR. ABDULLAH HOSPITAL FOUNDATION INC.,Private
DULAY PROPER BARANGAY HEALTH POST,Government
DULAY WEST BARANGAY HEALTH POST,Government
EMIE PUNUD BARANGAY HEALTH POST,Government
GADONGAN BARANGAY HEALTH STATION,Government
GUIMBA (LILOD PROPER) BARANGAY HEALTH POST,Government
HIJRAH INFIRMARY,Private
KAPANTARAN RURAL HEALTH UNIT,Government
KILALA BARANGAY HEALTH POST,Government
LILOD MADAYA BARANGAY HEALTH POST,Government
LOMIDONG BARANGAY HEALTH POST,Government
LUMBACA MADAYA BARANGAY HEALTH STATION,Government
MAPANDI MEMORIAL HOSPITAL,Private
MARAWI CITY HEALTH OFFICE,Government
MARAWI CITY HEALTH OFFICE BIRTHING HOME,Government
MARAWI CITY HEALTH UNIT,Government
"MARAWI DOCTORS MATERNITY, MEDICAL AND CHILDRENS CLINIC",Private
MARAWI HEMODIALYSIS CENTER INC.,Private
MARAWI MIDTOWN INFIRMARY,Private
MARINAUT EAST BARANGAY HEALTH POST,Government
MARINAUT WEST BARANGAY HEALTH POST,Government
MATAMPAY BARANGAY HEALTH STATION,Government
MIDTOWN MEDICAL MATERNITY AND AND CHILDRENS CLINIC,Private
"MINDALANO SPECIALIST HOSPITAL FOUNDATION, INC.",Private
MIPAGA PROPER BARANGAY HEALTH POST,Government
MONCADO KADINGILAN BARANGAY HEALTH STATION,Government
NAVARRO (DATU SABER) BARANGAY HEALTH POST,Government
NORHAYA VILLAGE BARANGAY HEALTH STATION,Government
OLAWA AMBOLONG BARANGAY HEALTH STATION,Government
PANGGAO SADUC BARANGAY HEALTH POST,Government
PATANI BARANGAY HEALTH STATION,Government
PINDOLONAN HEALTH POST,Government
PROVINCIAL HEALTH OFFICE BIRTHING HOME,Government
RANAO DOCTORS POLYCLINIC,Private
RANAO FAMILY MEDICAL CLINIC,Private
RAYA MADAYA I BARANGAY HEALTH POST,Government
RAYA SADUC BARANGAY HEALTH POST,Government
ROROGAGUS PROPER BARANGAY HEALTH POST,Government
SALAAM HOSPITAL FOUNDATION INC.,Private
SHEIK MOTHER AND CHILD CARE CLINIC,Private
"SMA MEDICAL LABORATORY, DRUGTEST & DIAGNOSTIC CENTER",Private
SUGOD PROPER BARANGAY HEALTH STATION,Government
TIMBANGALAN RURAL HEALTH UNIT,Government
TOLALI BARANGAY HEALTH POST,Government
TOROS BARANGAY HEALTH POST,Government
TUCA AMBOLONG BARANGAY HEALTH POST,Government
WAWALAYAN CALOCAN BARANGAY HEALTH STATION,Government
BARIMBINGAN BARANGAY HEALTH STATION,Government
DITSAAN-RAMAIN RURAL HEALTH UNIT,Government
DITSAAN-RAMAIN RURAL HEALTH UNIT BIRTHING HOME,Government
LUMBATAN BARANGAY HEALTH STATION,Government
PAGALONGAN BARANGAY HEALTH STATION,Government
GANASSI RURAL HEALTH UNIT,Government
GANNASI RURAL HEALTH UNIT BIRTHING HOME,Government
KAPAI RURAL HEALTH UNIT,Government
KAPAI RURAL HEALTH UNIT BIRTHING HOME,Government
PARAO BARANGAY HEALTH STATION,Government
PINDOLONAN BARANGAY HEALTH STATION,Government
KAPATAGAN RURAL HEALTH UNIT,Government
KAPATAGAN RURAL HEALTH UNIT BIRTHING HOME,Government
PROPER BRANGAY HEALTH STATION,Government
SALAMAN BARANGAY HEALTH STATION,Government
TABUAN BARANGAY HEALTH STATION,Government
LUMBA-BAYABAO RURAL HEALTH UNIT,Government
LUMBA-BAYABAO RURAL HEALTH UNIT BIRTHING HOME,Government
MAPANTAO BARANGAY HEALTH STATION,Government
TALUAN BARANGAY HEALTH STATION,Government
LUMBACA-UNAYAN RURAL HEALTH UNIT,Government
LUMBATAN RURAL HEALTH UNIT,Government
LUMBATAN RURAL HEALTH UNIT BIRTHING HOME,Government
LUMBAYANAGUE RURAL HEALTH UNIT,Government
LUMBAYANAGUE RURAL HEALTH UNIT BIRTHING HOME,Government
LINUK BARANGAY HEALTH STATION,Government
MADALUM RURAL HEALTH UNIT,Government
MADALUM RURAL HEALTH UNIT BIRTHING HOME,Government
MADAMBA RURAL HEALTH UNIT,Government
MADAMBA RURAL HEALTH UNIT BIRTHING HOME,Government
UYAAN BARANGAY HEALTH STATION,Government
BOLAO BARANGAY HEALTH STATION,Government
MADAYA BARANGAY HEALTH STATION,Government
MAGUING RURAL HEALTH UNIT,Government
MAGUING RURAL HEALTH UNIT BIRTHING HOME,Government
DR. SERAPIO MONTAÑER JR. AL-HAJ MEMORIAL HOSPITAL,Government
MACABANTOG WELL FAMILY MIDWIFE CLINIC,Private
MALABANG RURAL HEALTH UNIT,Government
MALABANG RURAL HEALTH UNIT BIRTHING HOME,Government
RALPH EDMUND SPENCER FOUNDATION INC. HOSPITAL,Private
TACUB BARANGAY HEALTH STATION,Government
CAMPONG INUDARAN BARANGAY HEALTH STATION,Government
HIJRAH HOSPITAL,Private
KIALDAN BARANGAY HEALTH STATION,Government
LINUK CAWAYAN BARANGAY HEALTH STATION,Government
LUMBACAINGUD MAUL BARANGAY HEALTH STATION,Government
MANTAPOLI BARANGAY HEALTH STATION,Government
MARANTAO RURAL HEALTH UNIT,Government
MARANTAO RURAL HEALTH UNIT BIRTHING HOME,Government
MAROGONG RURAL HEALTH UNIT,Government
MAROGONG RURAL HEALTH UNIT BIRTHING HOME,Government
PIANGOLOGAN BARANGAY HEALTH STATION,Government
LAILA  LUMBAC BARANGAY HEALTH STATION,Government
MASIO RURAL HEALTH UNIT BIRTHING HOME,Government
MASIU RURAL HEALTH UNIT,Government
MORIATAO BAE BARANGAY HEALTH STATION,Government
SAMBOWANG ATAWA BARANGAY HEALTH STATION,Government
DALAMA BARANGAY HEALTH STATION,Government
MULONDO RURAL HEALTH UNIT,Government
MULONDO RURAL HEALTH UNIT BIRTHING HOME,Government
PAGAYAWAN RURAL HEALTH UNIT,Government
OLANGO BARANGAY HEALTH STATION,Government
PIAGAPO RURAL HEALTH UNIT,Government
PIAGAPO RURAL HEALTH UNIT BIRTHING HOME,Government
PINDOLONAN BARANGAY HEALTH STATION,Government
RADAPAN BARANGAY HEALTH STATION,Government
UDALO BARANGAY HEALTH STATION,Government
BULANGOS BARANGAY HEALTH STATION,Government
MAGANDING BARANGAY HEALTH STATION,Government
PICONG (SULTAN GUMANDER) RURAL HEALTH UNIT,Government
PICONG RURAL HEALTH UNIT BIRTHING HOME,Government
PUNONG BARANGAY HEALTH STATION,Government
CADAYONAN BARANGAY HEALTH STATION,Government
POONA BAYABAO BIRTHING CLINIC,Government
POONA-BAYABAO RURAL HEALTH UNIT,Government
RAGAYAN BARANGAY HEALTH STATION,Government
PUALAS RURAL HEALTH UNIT,Government
BAGO-INGUD BARANGAY HEALTH STATION,Government
BATANGAN BARANGAY HEALTH STATION,Government
COMONAL BARANGAY HEALTH STATION,Government
DILAUSAN BARANGAY HEALTH STATION,Government
PANTAON BARANGAY HEALTH STATION,Government
PAWAK BARANGAY HEALTH STATION,Government
SAGUIARAN RURAL HEALTH UNIT,Government
SAGUIARAN RURAL HEALTH UNIT BIRTHING HOME,Government
SULTAN DUMALONDONG RURAL HEALTH UNIT,Government
SULTAN DUMALONDONG RURAL HEALTH UNIT BIRTHING HOME,Government
TAGOLOAN II RURAL HEALTH UNIT,Government
TAGOLOAN RURAL HEALTH UNIT BIRTHING HOME,Government
TAMPARAN DISTRICT HOSPITAL,Government
"TAMPARAN MEDICAL FOUNDATION, INC. HOSPITAL",Private
TAMPARAN RURAL HEALTH UNIT,Government
TAMPARAN RURAL HEALTH UNIT BIRTHING HOME,Government
DOC AMBOR MATERNITY AND LYING-IN CLINIC,Private
GAPAO BALINDONG BARANGAY HEALTH STATION,Government
ILIAN BARANGAY HEALTH STATION,Government
TARAKA RURAL HEALTH UNIT,Government
TARAKA RURAL HEALTH UNIT BIRTHING HOME,Government
TUBARAN RURAL HEALTH UNIT,Government
DILIMBAYAN BARANGAY HEALTH STATION,Government
TUGAYA RURAL HEALTH UNIT,Government
TUGAYA RURAL HEALTH UNIT BIRTHING HOME,Government
AMOYONG BARANGAY HEALTH STATION,Government
BALATIN BARANGAY HEALTH STATION,Government
BOOT BARANGAY HEALTH STATION,Government
BUNTONGAN BARANGAY HEALTH STATION,Government
CEBUANO GROUP BARANGAY HEALTH STATION,Government
CHRISTIAN VILLAGE BARANGAY HEALTH STATION,Government
DIOMIL BARANGAY HEALTH STATION,Government
EAST KILIKILI BARANGAY HEALTH STATION,Government
EASTERN WAO BARANGAY HEALTH STATION,Government
EXTENSION POBLACION BARANGAY HEALTH STATION,Government
GATA BARANGAY HEALTH STATION,Government
KABATANGAN BARANGAY HEALTH STATION,Government
KADINGILAN BARANGAY HEALTH STATION,Government
KATUTUNGAN BARANGAY HEALTH STATION,Government
MALAIGANG BARANGAY HEALTH STATION,Government
MANILA GROUP BARANGAY HEALTH STATION,Government
MILAYA BARANGAY HEALTH STATION,Government
MIMBUAYA BARANGAY HEALTH STATION,Government
MUSLIM VILLAGE BARANGAY HEALTH STATION,Government
NORTH PARK AREA BARANGAY HEALTH STATION,Government
PAGALONGAN BARANGAY HEALTH STATION,Government
PANANG BARANGAY HEALTH STATION,Government
PILINTANGAN BARANGAY HEALTH STATION,Government
SERRAN BARANGAY HEALTH STATION,Government
WAO DISTRICT HOSPITAL,Government
WAO RURAL HEALTH UNIT,Government
WAO RURAL HEALTH UNIT BIRTHING HOME,Government
WEST KILIKILI BARANGAY HEALTH STATION,Government
WESTERN WAO BARANGAY HEALTH STATION,Government
AMPATUAN RURAL HEALTH UNIT,Government
AMPATUAN RURAL HEALTH UNIT BIRTHING HOME,Government
CHRISLAMVILLE BIRTHING HOME AND CLINIC,Private
KAMASI BARANGAY HEALTH STATION,Government
KAURAN BARANGAY HEALTH STATION,Government
SAUDIA BIRTHING CLINIC,Private
TOMICOR BARANGAY HEALTH STATION,Government
BARIRA RURAL HEALTH UNIT,Government
BARIRA RURAL HEALTH UNIT BIRTHING HOME,Government
BUALAN BARANGAY HEALTH STATION,Government
KOROSOYAN BARANGAY HEALTH STATION,Government
LAMIN BARANGAY HEALTH STATION,Government
LIONG BARANGAY HEALTH STATION,Government
LIPA BARANGAY HEALTH STATION,Government
MARANG BARANGAY HEALTH STATION,Government
NABALAWAG BARANGAY HEALTH STATION,Government
POBLACION BARANGAY HEALTH STATION,Government
TOGAIG BARANGAY HEALTH STATION,Government
ALYSSAH BIRTHING HOME AND MIDWIFE CLINIC,Private
AMPUAN BARANGAY HEALTH STATION,Government
BULDON RURAL HEALTH UNIT,Government
BULDON RURAL HEALTH UNIT BIRTHING HOME,Government
CABAYUAN BARANGAY HEALTH STATION,Government
DINGANEN BARANGAY HEALTH STATION,Government
EDCOR BARANGAY HEALTH STATION,Government
KARIM BARANGAY HEALTH STATION,Government
MATAYA BARANGAY HEALTH STATION,Government
MINABAY BARANGAY HEALTH STATION,Government
NUYO BARANGAY HEALTH STATION,Government
ORING BARANGAY HEALTH STATION,Government
BULUAN DISTRICT HOSPITAL,Government
BULUAN RURAL HEALTH UNIT,Government
BULUAN RURAL HEALTH UNIT BIRTHING HOME,Government
DIGAL BARANGAY HEALTH STATION,Government
MAGRINA CLINIC AND HOSPITAL,Private
MANANGAN CLINIC AND HOSPITAL,Private
MASLABENG BARANGAY HEALTH STATION,Government
MOTHER-CHILD 24/7 PAANAKAN LYING-IN CLINIC,Private
SHYRELL LYING IN CLINIC,Private
BAILABI BIRTHING LYING IN CLINIC II,Private
DATU ABDULLAH SANGKI RURAL HEALTH UNIT BIRTHING HOME,Government
DATU ABULLAH SANGKI RURAL HEALTH UNIT,Government
DIMAMPAO BARANGAY HEALTH STATION,Government
MAO BARANGAY HEALTH STATION,Government
TALISAWA BARANGAY HEALTH STATION,Government
ADAON BARANGAY HEALTH STATION,Government
BRAR BARANGAY HEALTH STATION,Government
DATU ANGGAL MIDTIMBANG RURAL HEALTH UNIT,Government
DATU ANGGAL MIDTIMBANG RURAL HEALTH UNIT BIRTHING HOME,Government
JHALILNOR HOSPITAL,Private
MAPAYAG BARANGAY HEALTH STATION,Government
MAPAYAG BARANGAY HEALTH STATION BIRTHING HOME,Government
NUNANGAN BARANGAY HEALTH STATION BIRTHING HOME,Government
NUNANGEN BARANGAY HEALTH STATION,Government
TUGAL BARANGAY HEALTH STATION,Government
DATU BLAH T. SINSUAT BARANGAY HEALTH STATION,Government
DATU BLAH T. SINSUAT RURAL HEALTH UNIT,Government
NALKAN BARANGAY HEALTH STATION,Government
PENANSARAN BARANGAY HEALTH STATION,Government
DATU HOFFER AMPATUAN RURAL HEALTH UNIT,Government
DATU HOFFER AMPATUAN RURAL HEALTH UNIT BIRTHING HOME,Government
MAGUINDANAO PROVINCIAL HOSPITAL,Government
MAGUINDANAO PROVINCIAL HOSPITAL,Government
MOTHER TUAYAN BARANGAY HEALTH STATION,Government
ANTONNIETTE WELL FAMILY MIDWIFE CLINIC,Private
AWANG BARANGAY HEALTH STATION,Government
BAKA BARANGAY HEALTH STATION,Government
BENOLEN BARANGAY HEALTH STATION,Government
BITU BARANGAY HEALTH STATION,Government
BLUE HERO LYING IN CLINIC,Private
BROCE BARANGAY HEALTH STATION,Government
BUGAWAS BARANGAY HEALTH STATION,Government
CAMP SIONGCO STATION HOSPITAL,Government
DATU ODIN SINSUAT DISTRICT HOSPITAL,Government
DATU ODIN SINSUAT RURAL HEALTH UNIT,Government
DATU ODIN SINSUAT RURAL HEALTH UNIT BIRTHING HOME,Government
DATU ODIN SINSUAT RURAL HEALTH UNIT BIRTHING HOME - NORTH,Government
DINAIG PROPER BARANGAY HEALTH STATION,Government
DULANGAN BARANGAY HEALTH STATION,Government
KURINTEM BARANGAY HEALTH STATION,Government
KUSIONG BARANGAY HEALTH STATION,Government
LABUNGAN BARANGAY HEALTH STATION,Government
LINEK BARANGAY HEALTH STATION,Government
